            JDTDB,            Calendar Date (TDB),                      X,                      Y,                      Z,
**************************************************************************************************************************
$$SOE
2459905.427083333, A.D. 2022-Nov-21 22:15:00.0000, -3.160936134337717E+05, -2.016171180694931E+05,  6.336367719652175E+03,
2459905.468750000, A.D. 2022-Nov-21 23:15:00.0000, -3.138732384850418E+05, -2.046639834674961E+05,  5.991762252444838E+03,
2459905.510416667, A.D. 2022-Nov-22 00:15:00.0000, -3.116217841385282E+05, -2.076908676235668E+05,  5.646558268308218E+03,
2459905.552083333, A.D. 2022-Nov-22 01:15:00.0000, -3.093394217056785E+05, -2.106974339965770E+05,  5.300789267166430E+03,
2459905.593750000, A.D. 2022-Nov-22 02:15:00.0000, -3.070263265310901E+05, -2.136833471075030E+05,  4.954488929038664E+03,
2459905.635416667, A.D. 2022-Nov-22 03:15:00.0000, -3.046826779967509E+05, -2.166482725952515E+05,  4.607691110520114E+03,
2459905.677083333, A.D. 2022-Nov-22 04:15:00.0000, -3.023086595253834E+05, -2.195918772729322E+05,  4.260429841176607E+03,
2459905.718750000, A.D. 2022-Nov-22 05:15:00.0000, -2.999044585828733E+05, -2.225138291845598E+05,  3.912739319853252E+03,
2459905.760416667, A.D. 2022-Nov-22 06:15:00.0000, -2.974702666797690E+05, -2.254137976621675E+05,  3.564653910896872E+03,
2459905.802083333, A.D. 2022-Nov-22 07:15:00.0000, -2.950062793718335E+05, -2.282914533833174E+05,  3.216208140292787E+03,
2459905.843750000, A.D. 2022-Nov-22 08:15:00.0000, -2.925126962596352E+05, -2.311464684289871E+05,  2.867436691715920E+03,
2459905.885416667, A.D. 2022-Nov-22 09:15:00.0000, -2.899897209871608E+05, -2.339785163418162E+05,  2.518374402496440E+03,
2459905.927083333, A.D. 2022-Nov-22 10:15:00.0000, -2.874375612394357E+05, -2.367872721846925E+05,  2.169056259500561E+03,
2459905.968750000, A.D. 2022-Nov-22 11:15:00.0000, -2.848564287391381E+05, -2.395724125996592E+05,  1.819517394926675E+03,
2459906.010416667, A.D. 2022-Nov-22 12:15:00.0000, -2.822465392421919E+05, -2.423336158671231E+05,  1.469793082017495E+03,
2459906.052083333, A.D. 2022-Nov-22 13:15:00.0000, -2.796081125323246E+05, -2.450705619653423E+05,  1.119918730688325E+03,
2459906.093750000, A.D. 2022-Nov-22 14:15:00.0000, -2.769413724145773E+05, -2.477829326301744E+05,  7.699298830727203E+02,
2459906.135416667, A.D. 2022-Nov-22 15:15:00.0000, -2.742465467077540E+05, -2.504704114150608E+05,  4.198622089854180E+02,
2459906.177083333, A.D. 2022-Nov-22 16:15:00.0000, -2.715238672357980E+05, -2.531326837512282E+05,  6.975150130396651E+01,
2459906.218750000, A.D. 2022-Nov-22 17:15:00.0000, -2.687735698180826E+05, -2.557694370080829E+05, -2.803663287307136E+02,
2459906.260416667, A.D. 2022-Nov-22 18:15:00.0000, -2.659958942586057E+05, -2.583803605537752E+05, -6.304552562937315E+02,
2459906.302083333, A.D. 2022-Nov-22 19:15:00.0000, -2.631910843340781E+05, -2.609651458159106E+05, -9.804791478347033E+02,
2459906.343750000, A.D. 2022-Nov-22 20:15:00.0000, -2.603593877808937E+05, -2.635234863423851E+05, -1.330401766014184E+03,
2459906.385416667, A.D. 2022-Nov-22 21:15:00.0000, -2.575010562809725E+05, -2.660550778623179E+05, -1.680186774717557E+03,
2459906.427083333, A.D. 2022-Nov-22 22:15:00.0000, -2.546163454464684E+05, -2.685596183470596E+05, -2.029797744144627E+03,
2459906.468750000, A.D. 2022-Nov-22 23:15:00.0000, -2.517055148033325E+05, -2.710368080712485E+05, -2.379198155973965E+03,
2459906.510416667, A.D. 2022-Nov-23 00:15:00.0000, -2.487688277737233E+05, -2.734863496738910E+05, -2.728351408601258E+03,
2459906.552083333, A.D. 2022-Nov-23 01:15:00.0000, -2.458065516572583E+05, -2.759079482194402E+05, -3.077220822449293E+03,
2459906.593750000, A.D. 2022-Nov-23 02:15:00.0000, -2.428189576110993E+05, -2.783013112588452E+05, -3.425769645349559E+03,
2459906.635416667, A.D. 2022-Nov-23 03:15:00.0000, -2.398063206288660E+05, -2.806661488905464E+05, -3.773961057992812E+03,
2459906.677083333, A.D. 2022-Nov-23 04:15:00.0000, -2.367689195183725E+05, -2.830021738213891E+05, -4.121758179447948E+03,
2459906.718750000, A.D. 2022-Nov-23 05:15:00.0000, -2.337070368781823E+05, -2.853091014274282E+05, -4.469124072747232E+03,
2459906.760416667, A.D. 2022-Nov-23 06:15:00.0000, -2.306209590729782E+05, -2.875866498145970E+05, -4.816021750536456E+03,
2459906.802083333, A.D. 2022-Nov-23 07:15:00.0000, -2.275109762077443E+05, -2.898345398792127E+05, -5.162414180788095E+03,
2459906.843750000, A.D. 2022-Nov-23 08:15:00.0000, -2.243773821007568E+05, -2.920524953682898E+05, -5.508264292576030E+03,
2459906.885416667, A.D. 2022-Nov-23 09:15:00.0000, -2.212204742553830E+05, -2.942402429396351E+05, -5.853534981909994E+03,
2459906.927083333, A.D. 2022-Nov-23 10:15:00.0000, -2.180405538306882E+05, -2.963975122216938E+05, -6.198189117627597E+03,
2459906.968750000, A.D. 2022-Nov-23 11:15:00.0000, -2.148379256108484E+05, -2.985240358731213E+05, -6.542189547342234E+03,
2459907.010416667, A.D. 2022-Nov-23 12:15:00.0000, -2.116128979733719E+05, -3.006195496420490E+05, -6.885499103445109E+03,
2459907.052083333, A.D. 2022-Nov-23 13:15:00.0000, -2.083657828561303E+05, -3.026837924250183E+05, -7.228080609158729E+03,
2459907.093750000, A.D. 2022-Nov-23 14:15:00.0000, -2.050968957232009E+05, -3.047165063255517E+05, -7.569896884640621E+03,
2459907.135416667, A.D. 2022-Nov-23 15:15:00.0000, -2.018065555295244E+05, -3.067174367123347E+05, -7.910910753134274E+03,
2459907.177083333, A.D. 2022-Nov-23 16:15:00.0000, -1.984950846843811E+05, -3.086863322769781E+05, -8.251085047165805E+03,
2459907.218750000, A.D. 2022-Nov-23 17:15:00.0000, -1.951628090136916E+05, -3.106229450913319E+05, -8.590382614783623E+03,
2459907.260416667, A.D. 2022-Nov-23 18:15:00.0000, -1.918100577211462E+05, -3.125270306643231E+05, -8.928766325839111E+03,
2459907.302083333, A.D. 2022-Nov-23 19:15:00.0000, -1.884371633481697E+05, -3.143983479982879E+05, -9.266199078305843E+03,
2459907.343750000, A.D. 2022-Nov-23 20:15:00.0000, -1.850444617327299E+05, -3.162366596447696E+05, -9.602643804634907E+03,
2459907.385416667, A.D. 2022-Nov-23 21:15:00.0000, -1.816322919669964E+05, -3.180417317597548E+05, -9.938063478144075E+03,
2459907.427083333, A.D. 2022-Nov-23 22:15:00.0000, -1.782009963538599E+05, -3.198133341583177E+05, -1.027242111943816E+04,
2459907.468750000, A.D. 2022-Nov-23 23:15:00.0000, -1.747509203623199E+05, -3.215512403686452E+05, -1.060567980285815E+04,
2459907.510416667, A.D. 2022-Nov-24 00:15:00.0000, -1.712824125817537E+05, -3.232552276854158E+05, -1.093780266295635E+04,
2459907.552083333, A.D. 2022-Nov-24 01:15:00.0000, -1.677958246750759E+05, -3.249250772225021E+05, -1.126875290099556E+04,
2459907.593750000, A.D. 2022-Nov-24 02:15:00.0000, -1.642915113308022E+05, -3.265605739649711E+05, -1.159849379146875E+04,
2459907.635416667, A.D. 2022-Nov-24 03:15:00.0000, -1.607698302140282E+05, -3.281615068203543E+05, -1.192698868863724E+04,
2459907.677083333, A.D. 2022-Nov-24 04:15:00.0000, -1.572311419163405E+05, -3.297276686691606E+05, -1.225420103308445E+04,
2459907.718750000, A.D. 2022-Nov-24 05:15:00.0000, -1.536758099046707E+05, -3.312588564146050E+05, -1.258009435828264E+04,
2459907.760416667, A.D. 2022-Nov-24 06:15:00.0000, -1.501042004691103E+05, -3.327548710315268E+05, -1.290463229716982E+04,
2459907.802083333, A.D. 2022-Nov-24 07:15:00.0000, -1.465166826697024E+05, -3.342155176144718E+05, -1.322777858873365E+04,
2459907.843750000, A.D. 2022-Nov-24 08:15:00.0000, -1.429136282822252E+05, -3.356406054249122E+05, -1.354949708460037E+04,
2459907.885416667, A.D. 2022-Nov-24 09:15:00.0000, -1.392954117429871E+05, -3.370299479375781E+05, -1.386975175562550E+04,
2459907.927083333, A.D. 2022-Nov-24 10:15:00.0000, -1.356624100926512E+05, -3.383833628858787E+05, -1.418850669848295E+04,
2459907.968750000, A.D. 2022-Nov-24 11:15:00.0000, -1.320150029191072E+05, -3.397006723063853E+05, -1.450572614225087E+04,
2459908.010416667, A.D. 2022-Nov-24 12:15:00.0000, -1.283535722994117E+05, -3.409817025823548E+05, -1.482137445499057E+04,
2459908.052083333, A.D. 2022-Nov-24 13:15:00.0000, -1.246785027408177E+05, -3.422262844862696E+05, -1.513541615031537E+04,
2459908.093750000, A.D. 2022-Nov-24 14:15:00.0000, -1.209901811209128E+05, -3.434342532213705E+05, -1.544781589394776E+04,
2459908.135416667, A.D. 2022-Nov-24 15:15:00.0000, -1.172889966268899E+05, -3.446054484621614E+05, -1.575853851026042E+04,
2459908.177083333, A.D. 2022-Nov-24 16:15:00.0000, -1.135753406939721E+05, -3.457397143938641E+05, -1.606754898879983E+04,
2459908.218750000, A.D. 2022-Nov-24 17:15:00.0000, -1.098496069430138E+05, -3.468368997508013E+05, -1.637481249078788E+04,
2459908.260416667, A.D. 2022-Nov-24 18:15:00.0000, -1.061121911173042E+05, -3.478968578536874E+05, -1.668029435560055E+04,
2459908.302083333, A.D. 2022-Nov-24 19:15:00.0000, -1.023634910185954E+05, -3.489194466458099E+05, -1.698396010721881E+04,
2459908.343750000, A.D. 2022-Nov-24 20:15:00.0000, -9.860390644238023E+04, -3.499045287280781E+05, -1.728577546065062E+04,
2459908.385416667, A.D. 2022-Nov-24 21:15:00.0000, -9.483383911244638E+04, -3.508519713929244E+05, -1.758570632831988E+04,
2459908.427083333, A.D. 2022-Nov-24 22:15:00.0000, -9.105369261473141E+04, -3.517616466570381E+05, -1.788371882642074E+04,
2459908.468750000, A.D. 2022-Nov-24 23:15:00.0000, -8.726387233050502E+04, -3.526334312929170E+05, -1.817977928123316E+04,
2459908.510416667, A.D. 2022-Nov-25 00:15:00.0000, -8.346478536890882E+04, -3.534672068592163E+05, -1.847385423539772E+04,
2459908.552083333, A.D. 2022-Nov-25 01:15:00.0000, -7.965684049892411E+04, -3.542628597298815E+05, -1.876591045414371E+04,
