            JDTDB,            Calendar Date (TDB),                      X,                      Y,                      Z,
**************************************************************************************************************************
$$SOE
2423845.500000000, A.D. 1924-Mar-01 00:00:00.0000, -3.574229998146801E+02, -6.073391785119767E+03, -1.884460799693190E+03,
2423876.500000000, A.D. 1924-Apr-01 00:00:00.0000,  2.148150897124766E+03, -5.632579821658413E+03, -2.055364628907879E+03,
2423906.500000000, A.D. 1924-May-01 00:00:00.0000,  4.019151492026978E+03, -4.148449590015904E+03, -2.683620458479793E+03,
2423937.500000000, A.D. 1924-Jun-01 00:00:00.0000,  4.857662537728998E+03, -1.936628525307764E+03, -3.635603953464352E+03,
2423967.500000000, A.D. 1924-Jul-01 00:00:00.0000,  4.392344879660994E+03,  2.871612868467569E+02, -4.603246282287040E+03,
2423998.500000000, A.D. 1924-Aug-01 00:00:00.0000,  2.722156167681086E+03,  2.049994935401297E+03, -5.380745119918052E+03,
2424029.500000000, A.D. 1924-Sep-01 00:00:00.0000,  3.044940296460918E+02,  2.786190103660053E+03, -5.719218440846072E+03,
2424059.500000000, A.D. 1924-Oct-01 00:00:00.0000, -2.114994080120448E+03,  2.325986926092246E+03, -5.539098874604108E+03,
2424090.500000000, A.D. 1924-Nov-01 00:00:00.0000, -4.021780297958614E+03,  7.672557289640706E+02, -4.878691767601313E+03,
2424120.500000000, A.D. 1924-Dec-01 00:00:00.0000, -4.798862385324807E+03, -1.385632619799551E+03, -3.951705142289748E+03,
2424151.500000000, A.D. 1925-Jan-01 00:00:00.0000, -4.280982563329358E+03, -3.674842862136834E+03, -2.955291815203543E+03,
2424182.500000000, A.D. 1925-Feb-01 00:00:00.0000, -2.565873203816681E+03, -5.400944847967263E+03, -2.193426755806649E+03,
2424210.500000000, A.D. 1925-Mar-01 00:00:00.0000, -3.790556562894733E+02, -6.071849009203777E+03, -1.885205002328165E+03,
2424241.500000000, A.D. 1925-Apr-01 00:00:00.0000,  2.128579796682773E+03, -5.641263231878464E+03, -2.051908545658686E+03,
2424271.500000000, A.D. 1925-May-01 00:00:00.0000,  4.006668589887322E+03, -4.164771421352707E+03, -2.676997814834965E+03,
2424302.500000000, A.D. 1925-Jun-01 00:00:00.0000,  4.855790063069857E+03, -1.956377741472245E+03, -3.627522636456054E+03,
2424332.500000000, A.D. 1925-Jul-01 00:00:00.0000,  4.401171601095418E+03,  2.693084519816546E+02, -4.595888703758994E+03,
2424363.500000000, A.D. 1925-Aug-01 00:00:00.0000,  2.739491217337491E+03,  2.038959554937668E+03, -5.376138324615190E+03,
2424394.500000000, A.D. 1925-Sep-01 00:00:00.0000,  3.254150875486404E+02,  2.785018300633468E+03, -5.718637037605155E+03,
2424424.500000000, A.D. 1925-Oct-01 00:00:00.0000, -2.096231859330211E+03,  2.334682407595830E+03, -5.542571743291070E+03,
2424455.500000000, A.D. 1925-Nov-01 00:00:00.0000, -4.010460623479648E+03,  7.837284711264913E+02, -4.885387062761973E+03,
2424485.500000000, A.D. 1925-Dec-01 00:00:00.0000, -4.797866274606500E+03, -1.365985587412788E+03, -3.959746717646366E+03,
2424516.500000000, A.D. 1926-Jan-01 00:00:00.0000, -4.290997555929749E+03, -3.657303485456686E+03, -2.962516273745746E+03,
2424547.500000000, A.D. 1926-Feb-01 00:00:00.0000, -2.584219046748800E+03, -5.390402073713956E+03, -2.197819119959168E+03,
2424575.500000000, A.D. 1926-Mar-01 00:00:00.0000, -4.006729109360400E+02, -6.070226357468333E+03, -1.885959880134218E+03,
2424606.500000000, A.D. 1926-Apr-01 00:00:00.0000,  2.108976822122398E+03, -5.649869860044590E+03, -2.048467429628142E+03,
2424636.500000000, A.D. 1926-May-01 00:00:00.0000,  3.994112444028015E+03, -4.181039063373173E+03, -2.670395030130414E+03,
2424667.500000000, A.D. 1926-Jun-01 00:00:00.0000,  4.853812409226073E+03, -1.976113868353662E+03, -3.619462744286836E+03,
2424697.500000000, A.D. 1926-Jul-01 00:00:00.0000,  4.409886388756987E+03,  2.514174970066531E+02, -4.588542553185255E+03,
2424728.500000000, A.D. 1926-Aug-01 00:00:00.0000,  2.756739776693687E+03,  2.027838438894912E+03, -5.371525719129732E+03,
2424759.500000000, A.D. 1926-Sep-01 00:00:00.0000,  3.462987807388108E+02,  2.783743194162975E+03, -5.718031345257494E+03,
2424789.500000000, A.D. 1926-Oct-01 00:00:00.0000, -2.077459435694634E+03,  2.343283537232751E+03, -5.546009019025696E+03,
2424820.500000000, A.D. 1926-Nov-01 00:00:00.0000, -3.999091833244436E+03,  8.001333715404612E+02, -4.892042781800058E+03,
2424850.500000000, A.D. 1926-Dec-01 00:00:00.0000, -4.796794560477675E+03, -1.346368576454831E+03, -3.967755673279778E+03,
2424881.500000000, A.D. 1927-Jan-01 00:00:00.0000, -4.300929896529531E+03, -3.639745926268175E+03, -2.969727782018040E+03,
2424912.500000000, A.D. 1927-Feb-01 00:00:00.0000, -2.602509320200878E+03, -5.379794996274732E+03, -2.202222177315907E+03,
2424940.500000000, A.D. 1927-Mar-01 00:00:00.0000, -4.222750131244497E+02, -6.068518883915605E+03, -1.886741596188394E+03,
2424971.500000000, A.D. 1927-Apr-01 00:00:00.0000,  2.089332483941240E+03, -5.658396366258252E+03, -2.045060345271115E+03,
2425001.500000000, A.D. 1927-May-01 00:00:00.0000,  3.981473820632739E+03, -4.197254524371374E+03, -2.663822846061135E+03,
2425032.500000000, A.D. 1927-Jun-01 00:00:00.0000,  4.851731424664682E+03, -1.995836359343217E+03, -3.611422280983201E+03,
2425062.500000000, A.D. 1927-Jul-01 00:00:00.0000,  4.418495232188210E+03,  2.334987533737615E+02, -4.581201774342628E+03,
2425093.500000000, A.D. 1927-Aug-01 00:00:00.0000,  2.773901400887396E+03,  2.016646988096300E+03, -5.366902032410704E+03,
2425124.500000000, A.D. 1927-Sep-01 00:00:00.0000,  3.671414385357070E+02,  2.782370084397785E+03, -5.717399352808518E+03,
2425154.500000000, A.D. 1927-Oct-01 00:00:00.0000, -2.058674599374532E+03,  2.351791581907897E+03, -5.549411386002515E+03,
2425185.500000000, A.D. 1927-Nov-01 00:00:00.0000, -3.987668232645631E+03,  8.164809850565880E+02, -4.898662302029706E+03,
2425215.500000000, A.D. 1927-Dec-01 00:00:00.0000, -4.795649134114040E+03, -1.326765322156926E+03, -3.975735736229229E+03,
2425246.500000000, A.D. 1928-Jan-01 00:00:00.0000, -4.310789948402969E+03, -3.622160229545188E+03, -2.976924045753631E+03,
2425277.500000000, A.D. 1928-Feb-01 00:00:00.0000, -2.620746390403119E+03, -5.369122995025506E+03, -2.206635018170074E+03,
2425306.500000000, A.D. 1928-Mar-01 00:00:00.0000, -3.609646021037196E+02, -6.073305491043264E+03, -1.884063812727409E+03,
2425337.500000000, A.D. 1928-Apr-01 00:00:00.0000,  2.144812158978681E+03, -5.633826496750101E+03, -2.055434574281258E+03,
2425367.500000000, A.D. 1928-May-01 00:00:00.0000,  4.016482678079596E+03, -4.150717306210947E+03, -2.684109577223813E+03,
2425398.500000000, A.D. 1928-Jun-01 00:00:00.0000,  4.855984399211774E+03, -1.939389416647243E+03, -3.636373975149644E+03,
2425428.500000000, A.D. 1928-Jul-01 00:00:00.0000,  4.391653880016866E+03,  2.845923156499130E+02, -4.604065040151248E+03,
2425459.500000000, A.D. 1928-Aug-01 00:00:00.0000,  2.722237723069671E+03,  2.048258986600490E+03, -5.381364918386773E+03,
2425490.500000000, A.D. 1928-Sep-01 00:00:00.0000,  3.048872939672941E+02,  2.785698790950313E+03, -5.719436813709225E+03,
2425520.500000000, A.D. 1928-Oct-01 00:00:00.0000, -2.114817752461619E+03,  2.326768461719974E+03, -5.538837954061802E+03,
2425551.500000000, A.D. 1928-Nov-01 00:00:00.0000, -4.022302541347953E+03,  7.690691491584523E+02, -4.877975644836246E+03,
2425581.500000000, A.D. 1928-Dec-01 00:00:00.0000, -4.800338387742050E+03, -1.383363133051619E+03, -3.950707441360439E+03,
2425612.500000000, A.D. 1929-Jan-01 00:00:00.0000, -4.283463762927057E+03, -3.672788998670143E+03, -2.954249590822588E+03,
2425643.500000000, A.D. 1929-Feb-01 00:00:00.0000, -2.569104615459832E+03, -5.399741024773109E+03, -2.192607995548300E+03,
2425671.500000000, A.D. 1929-Mar-01 00:00:00.0000, -3.825746681326469E+02, -6.071763329647702E+03, -1.884770058650582E+03,
2425702.500000000, A.D. 1929-Apr-01 00:00:00.0000,  2.125252225252788E+03, -5.642486626339924E+03, -2.051993940675814E+03,
2425732.500000000, A.D. 1929-May-01 00:00:00.0000,  4.003980639434018E+03, -4.167002410233165E+03, -2.677547652999967E+03,
2425763.500000000, A.D. 1929-Jun-01 00:00:00.0000,  4.854050914689007E+03, -1.959102201303175E+03, -3.628379771246799E+03,
2425793.500000000, A.D. 1929-Jul-01 00:00:00.0000,  4.400381957846684E+03,  2.667640744787661E+02, -4.596793125164756E+03,
